County,Population
".Crawford County, Iowa","16,526"
".Dallas County, Iowa","99,735"
".Davis County, Iowa","9,112"
".Decatur County, Iowa","7,767"
".Delaware County, Iowa","17,479"
".Des Moines County, Iowa","38,940"
".Dickinson County, Iowa","17,708"
".Dubuque County, Iowa","99,275"
".Emmet County, Iowa","9,388"
".Fayette County, Iowa","19,513"
".Floyd County, Iowa","15,627"
".Franklin County, Iowa","10,012"
".Fremont County, Iowa","6,601"
".Greene County, Iowa","8,762"
".Grundy County, Iowa","12,339"
".Guthrie County, Iowa","10,627"
".Hamilton County, Iowa","15,039"
".Hancock County, Iowa","10,793"
".Hardin County, Iowa","16,875"
".Harrison County, Iowa","14,579"
".Henry County, Iowa","20,482"
".Howard County, Iowa","9,473"
".Humboldt County, Iowa","9,597"
".Ida County, Iowa","7,010"
".Iowa County, Iowa","16,660"
".Jackson County, Iowa","19,482"
".Jasper County, Iowa","37,811"
".Jefferson County, Iowa","15,667"
".Johnson County, Iowa","152,854"
".Jones County, Iowa","20,643"
".Keokuk County, Iowa","10,033"
".Kossuth County, Iowa","14,817"
".Lee County, Iowa","33,553"
".Linn County, Iowa","230,303"
".Louisa County, Iowa","10,839"
".Lucas County, Iowa","8,635"
".Lyon County, Iowa","11,929"
".Madison County, Iowa","16,545"
".Mahaska County, Iowa","22,191"
".Marion County, Iowa","33,417"
".Marshall County, Iowa","40,100"
".Mills County, Iowa","14,503"
".Mitchell County, Iowa","10,560"
".Monona County, Iowa","8,752"
".Monroe County, Iowa","7,573"
".Montgomery County, Iowa","10,326"
".Muscatine County, Iowa","43,249"
".O'Brien County, Iowa","14,180"
".Osceola County, Iowa","6,193"
".Page County, Iowa","15,214"
".Palo Alto County, Iowa","9,001"
".Plymouth County, Iowa","25,698"
".Pocahontas County, Iowa","7,078"
".Polk County, Iowa","492,402"
".Pottawattamie County, Iowa","93,647"
".Poweshiek County, Iowa","18,656"
".Ringgold County, Iowa","4,663"
".Sac County, Iowa","9,823"
".Scott County, Iowa","174,681"
".Shelby County, Iowa","11,749"
".Sioux County, Iowa","35,876"
".Story County, Iowa","98,534"
".Tama County, Iowa","17,096"
".Taylor County, Iowa","5,892"
".Union County, Iowa","12,138"
".Van Buren County, Iowa","7,202"
".Wapello County, Iowa","35,435"
".Warren County, Iowa","52,397"
".Washington County, Iowa","22,565"
".Wayne County, Iowa","6,492"
".Webster County, Iowa","36,998"
".Winnebago County, Iowa","10,676"
".Winneshiek County, Iowa","20,069"
".Woodbury County, Iowa","105,976"
".Worth County, Iowa","7,439"
".Wright County, Iowa","12,948"
".Allen County, Kansas","12,526"
".Anderson County, Kansas","7,836"
".Atchison County, Kansas","16,344"
".Barber County, Kansas","4,233"
".Barton County, Kansas","25,499"
".Bourbon County, Kansas","14,358"
".Brown County, Kansas","9,507"
".Butler County, Kansas","67,372"
".Chase County, Kansas","2,577"
".Chautauqua County, Kansas","3,378"
".Cherokee County, Kansas","19,358"
".Cheyenne County, Kansas","2,614"
".Clark County, Kansas","1,990"
".Clay County, Kansas","8,116"
".Cloud County, Kansas","9,043"
".Coffey County, Kansas","8,361"
".Comanche County, Kansas","1,689"
".Cowley County, Kansas","34,554"
".Crawford County, Kansas","38,971"
".Decatur County, Kansas","2,752"
".Dickinson County, Kansas","18,393"
".Doniphan County, Kansas","7,503"
".Douglas County, Kansas","118,777"
".Edwards County, Kansas","2,902"
".Elk County, Kansas","2,476"
".Ellis County, Kansas","28,935"
".Ellsworth County, Kansas","6,383"
".Finney County, Kansas","38,469"
".Ford County, Kansas","34,291"
".Franklin County, Kansas","25,996"
".Geary County, Kansas","36,738"
".Gove County, Kansas","2,724"
".Graham County, Kansas","2,415"
".Grant County, Kansas","7,352"
".Gray County, Kansas","5,648"
".Greeley County, Kansas","1,283"
".Greenwood County, Kansas","6,015"
".Hamilton County, Kansas","2,517"
".Harper County, Kansas","5,485"
".Harvey County, Kansas","34,027"
".Haskell County, Kansas","3,781"
".Hodgeman County, Kansas","1,721"
".Jackson County, Kansas","13,230"
".Jefferson County, Kansas","18,362"
".Jewell County, Kansas","2,931"
".Johnson County, Kansas","609,860"
".Kearny County, Kansas","3,980"
".Kingman County, Kansas","7,468"
".Kiowa County, Kansas","2,459"
".Labette County, Kansas","20,179"
".Lane County, Kansas","1,575"
".Leavenworth County, Kansas","81,896"
".Lincoln County, Kansas","2,937"
".Linn County, Kansas","9,595"
".Logan County, Kansas","2,761"
".Lyon County, Kansas","32,177"
".McPherson County, Kansas","30,220"
".Marion County, Kansas","11,826"
".Marshall County, Kansas","10,032"
".Meade County, Kansas","4,063"
".Miami County, Kansas","34,185"
".Mitchell County, Kansas","5,797"
".Montgomery County, Kansas","31,486"
".Morris County, Kansas","5,391"
".Morton County, Kansas","2,703"
".Nemaha County, Kansas","10,273"
".Neosho County, Kansas","15,900"
".Ness County, Kansas","2,687"
".Norton County, Kansas","5,456"
".Osage County, Kansas","15,761"
".Osborne County, Kansas","3,495"
".Ottawa County, Kansas","5,731"
".Pawnee County, Kansas","6,245"
".Phillips County, Kansas","4,971"
".Pottawatomie County, Kansas","25,350"
".Pratt County, Kansas","9,149"
".Rawlins County, Kansas","2,568"
".Reno County, Kansas","61,897"
".Republic County, Kansas","4,677"
".Rice County, Kansas","9,422"
".Riley County, Kansas","71,959"
".Rooks County, Kansas","4,911"
".Rush County, Kansas","2,957"
".Russell County, Kansas","6,686"
".Saline County, Kansas","54,289"
".Scott County, Kansas","5,145"
".Sedgwick County, Kansas","523,831"
".Seward County, Kansas","21,961"
".Shawnee County, Kansas","178,905"
".Sheridan County, Kansas","2,440"
".Sherman County, Kansas","5,931"
".Smith County, Kansas","3,567"
".Stafford County, Kansas","4,067"
".Stanton County, Kansas","2,086"
".Stevens County, Kansas","5,252"
".Sumner County, Kansas","22,369"
".Thomas County, Kansas","7,931"
".Trego County, Kansas","2,806"
".Wabaunsee County, Kansas","6,875"
".Wallace County, Kansas","1,512"
".Washington County, Kansas","5,525"
".Wichita County, Kansas","2,152"
".Wilson County, Kansas","8,632"
".Woodson County, Kansas","3,123"
".Wyandotte County, Kansas","169,229"
".Adair County, Kentucky","18,901"
".Allen County, Kentucky","20,577"
".Anderson County, Kentucky","23,869"
".Ballard County, Kentucky","7,731"
".Barren County, Kentucky","44,485"
".Bath County, Kentucky","12,747"
".Bell County, Kentucky","24,098"
".Boone County, Kentucky","135,994"
".Bourbon County, Kentucky","20,243"
".Boyd County, Kentucky","48,255"
".Boyle County, Kentucky","30,622"
".Bracken County, Kentucky","8,406"
".Breathitt County, Kentucky","13,722"
".Breckinridge County, Kentucky","20,432"
".Bullitt County, Kentucky","82,224"
".Butler County, Kentucky","12,369"
".Caldwell County, Kentucky","12,647"
".Calloway County, Kentucky","37,548"
".Campbell County, Kentucky","93,076"
".Carlisle County, Kentucky","4,817"
".Carroll County, Kentucky","10,807"
".Carter County, Kentucky","26,630"
".Casey County, Kentucky","15,942"
".Christian County, Kentucky","72,798"
".Clark County, Kentucky","36,996"
".Clay County, Kentucky","20,336"
".Clinton County, Kentucky","9,249"
".Crittenden County, Kentucky","8,988"
".Cumberland County, Kentucky","5,886"
".Daviess County, Kentucky","103,315"
".Edmonson County, Kentucky","12,131"
".Elliott County, Kentucky","7,353"
".Estill County, Kentucky","14,162"
".Fayette County, Kentucky","322,566"
".Fleming County, Kentucky","15,082"
".Floyd County, Kentucky","35,942"
".Franklin County, Kentucky","51,546"
".Fulton County, Kentucky","6,513"
".Gallatin County, Kentucky","8,695"
".Garrard County, Kentucky","16,946"
".Grant County, Kentucky","24,944"
".Graves County, Kentucky","36,655"
".Grayson County, Kentucky","26,417"
".Green County, Kentucky","11,109"
".Greenup County, Kentucky","35,969"
".Hancock County, Kentucky","9,096"
".Hardin County, Kentucky","110,703"
".Harlan County, Kentucky","26,834"
".Harrison County, Kentucky","18,693"
".Hart County, Kentucky","19,286"
".Henderson County, Kentucky","44,792"
".Henry County, Kentucky","15,676"
".Hickman County, Kentucky","4,522"
".Hopkins County, Kentucky","45,415"
".Jackson County, Kentucky","12,961"
".Jefferson County, Kentucky","782,987"
".Jessamine County, Kentucky","52,983"
".Johnson County, Kentucky","22,678"
".Kenton County, Kentucky","169,039"
".Knott County, Kentucky","14,250"
".Knox County, Kentucky","30,196"
".Larue County, Kentucky","14,865"
".Laurel County, Kentucky","62,614"
".Lawrence County, Kentucky","16,290"
".Lee County, Kentucky","7,386"
".Leslie County, Kentucky","10,515"
".Letcher County, Kentucky","21,550"
".Lewis County, Kentucky","13,084"
".Lincoln County, Kentucky","24,274"
".Livingston County, Kentucky","8,889"
".Logan County, Kentucky","27,430"
".Lyon County, Kentucky","8,684"
".McCracken County, Kentucky","67,877"
".McCreary County, Kentucky","16,887"
".McLean County, Kentucky","9,150"
".Madison County, Kentucky","92,701"
".Magoffin County, Kentucky","11,639"
".Marion County, Kentucky","19,581"
".Marshall County, Kentucky","31,659"
".Martin County, Kentucky","11,287"
".Mason County, Kentucky","17,125"
".Meade County, Kentucky","30,007"
".Menifee County, Kentucky","6,112"
".Mercer County, Kentucky","22,640"
".Metcalfe County, Kentucky","10,286"
".Monroe County, Kentucky","11,336"
".Montgomery County, Kentucky","28,100"
".Morgan County, Kentucky","13,725"
".Muhlenberg County, Kentucky","30,932"
".Nelson County, Kentucky","46,725"
".Nicholas County, Kentucky","7,530"
".Ohio County, Kentucky","23,767"
".Oldham County, Kentucky","67,608"
".Owen County, Kentucky","11,268"
".Owsley County, Kentucky","4,053"
".Pendleton County, Kentucky","14,646"
".Perry County, Kentucky","28,471"
".Pike County, Kentucky","58,668"
".Powell County, Kentucky","13,131"
".Pulaski County, Kentucky","65,032"
".Robertson County, Kentucky","2,195"
".Rockcastle County, Kentucky","16,039"
".Rowan County, Kentucky","24,654"
".Russell County, Kentucky","17,991"
".Scott County, Kentucky","57,163"
".Shelby County, Kentucky","48,108"
".Simpson County, Kentucky","19,596"
".Spencer County, Kentucky","19,424"
".Taylor County, Kentucky","26,012"
".Todd County, Kentucky","12,242"
".Trigg County, Kentucky","14,056"
".Trimble County, Kentucky","8,471"
".Union County, Kentucky","13,671"
".Warren County, Kentucky","134,561"
".Washington County, Kentucky","12,023"
".Wayne County, Kentucky","19,558"
".Webster County, Kentucky","13,017"
".Whitley County, Kentucky","36,709"
".Wolfe County, Kentucky","6,562"
".Woodford County, Kentucky","26,875"
".Acadia Parish, Louisiana","57,571"
".Allen Parish, Louisiana","22,752"
".Ascension Parish, Louisiana","126,499"
".Assumption Parish, Louisiana","21,044"
".Avoyelles Parish, Louisiana","39,684"
".Beauregard Parish, Louisiana","36,556"
".Bienville Parish, Louisiana","12,987"
".Bossier Parish, Louisiana","128,764"
".Caddo Parish, Louisiana","237,823"
".Calcasieu Parish, Louisiana","216,785"
".Caldwell Parish, Louisiana","9,647"
".Cameron Parish, Louisiana","5,620"
".Catahoula Parish, Louisiana","8,907"
".Claiborne Parish, Louisiana","14,172"
".Concordia Parish, Louisiana","18,681"
".De Soto Parish, Louisiana","26,816"
".East Baton Rouge Parish, Louisiana","456,794"
".East Carroll Parish, Louisiana","7,456"
".East Feliciana Parish, Louisiana","19,524"
".Evangeline Parish, Louisiana","32,343"
".Franklin Parish, Louisiana","19,773"
".Grant Parish, Louisiana","22,176"
".Iberia Parish, Louisiana","70,290"
".Iberville Parish, Louisiana","30,243"
".Jackson Parish, Louisiana","15,031"
".Jefferson Parish, Louisiana","440,784"
".Jefferson Davis Parish, Louisiana","32,249"
".Lafayette Parish, Louisiana","241,759"
".Lafourche Parish, Louisiana","97,552"
".LaSalle Parish, Louisiana","14,802"
".Lincoln Parish, Louisiana","48,396"
".Livingston Parish, Louisiana","142,288"
".Madison Parish, Louisiana","10,007"
".Morehouse Parish, Louisiana","25,630"
".Natchitoches Parish, Louisiana","37,519"
".Orleans Parish, Louisiana","384,130"
".Ouachita Parish, Louisiana","160,366"
".Plaquemines Parish, Louisiana","23,511"
".Pointe Coupee Parish, Louisiana","20,755"
".Rapides Parish, Louisiana","130,016"
".Red River Parish, Louisiana","7,622"
".Richland Parish, Louisiana","20,043"
".Sabine Parish, Louisiana","22,155"
".St. Bernard Parish, Louisiana","43,765"
".St. Charles Parish, Louisiana","52,548"
".St. Helena Parish, Louisiana","10,923"
".St. James Parish, Louisiana","20,195"
".St. John the Baptist Parish, Louisiana","42,472"
".St. Landry Parish, Louisiana","82,549"
".St. Martin Parish, Louisiana","51,746"
".St. Mary Parish, Louisiana","49,408"
".St. Tammany Parish, Louisiana","264,573"
".Tangipahoa Parish, Louisiana","133,146"
".Tensas Parish, Louisiana","4,148"
".Terrebonne Parish, Louisiana","109,584"
".Union Parish, Louisiana","21,112"
".Vermilion Parish, Louisiana","57,001"
".Vernon Parish, Louisiana","48,746"
".Washington Parish, Louisiana","45,457"
".Webster Parish, Louisiana","36,968"
".West Baton Rouge Parish, Louisiana","27,201"
".West Carroll Parish, Louisiana","9,753"
".West Feliciana Parish, Louisiana","15,307"
".Winn Parish, Louisiana","13,750"
".Androscoggin County, Maine","111,133"
".Aroostook County, Maine","67,088"
".Cumberland County, Maine","303,080"
".Franklin County, Maine","29,451"
".Hancock County, Maine","55,481"
".Kennebec County, Maine","124,513"
".Knox County, Maine","40,611"
".Lincoln County, Maine","35,239"
".Oxford County, Maine","57,756"
".Penobscot County, Maine","152,199"
".Piscataquis County, Maine","16,794"
".Sagadahoc County, Maine","36,699"
".Somerset County, Maine","50,478"
".Waldo County, Maine","39,602"
".Washington County, Maine","31,107"
".York County, Maine","211,965"
".Allegany County, Maryland","68,106"
".Anne Arundel County, Maryland","592,643"
".Baltimore County, Maryland","854,524"
".Calvert County, Maryland","92,786"
".Caroline County, Maryland","33,298"
".Carroll County, Maryland","172,887"
".Cecil County, Maryland","103,726"
".Charles County, Maryland","166,598"
".Dorchester County, Maryland","32,523"
".Frederick County, Maryland","271,720"
".Garrett County, Maryland","28,805"
".Harford County, Maryland","260,932"
".Howard County, Maryland","332,313"
".Kent County, Maryland","19,197"
".Montgomery County, Maryland","1,062,077"
".Prince George's County, Maryland","967,211"
".Queen Anne's County, Maryland","49,880"
".St. Mary's County, Maryland","113,778"
".Somerset County, Maryland","24,619"
".Talbot County, Maryland","37,522"
".Washington County, Maryland","154,707"
".Wicomico County, Maryland","103,594"
".Worcester County, Maryland","52,463"
".Baltimore city, Maryland","585,720"
".Barnstable County, Massachusetts","229,067"
".Berkshire County, Massachusetts","129,028"
".Bristol County, Massachusetts","579,298"
".Dukes County, Massachusetts","20,590"
".Essex County, Massachusetts","809,940"
".Franklin County, Massachusetts","71,032"
".Hampden County, Massachusetts","465,833"
".Hampshire County, Massachusetts","162,308"
".Middlesex County, Massachusetts","1,631,915"
".Nantucket County, Massachusetts","14,250"
".Norfolk County, Massachusetts","726,010"
".Plymouth County, Massachusetts","530,820"
".Suffolk County, Massachusetts","800,937"
".Worcester County, Massachusetts","862,104"
".Alcona County, Michigan","10,161"
".Alger County, Michigan","8,833"
".Allegan County, Michigan","120,503"
".Alpena County, Michigan","28,904"
".Antrim County, Michigan","23,427"
".Arenac County, Michigan","15,009"
".Baraga County, Michigan","8,150"
".Barry County, Michigan","62,429"
".Bay County, Michigan","103,856"
".Benzie County, Michigan","17,967"
".Berrien County, Michigan","154,539"
".Branch County, Michigan","44,864"
".Calhoun County, Michigan","134,310"
".Cass County, Michigan","51,592"
".Charlevoix County, Michigan","26,049"
".Cheboygan County, Michigan","25,583"
".Chippewa County, Michigan","36,786"
".Clare County, Michigan","30,861"
".Clinton County, Michigan","79,128"
".Crawford County, Michigan","12,986"
".Delta County, Michigan","36,904"
".Dickinson County, Michigan","25,955"
".Eaton County, Michigan","109,185"
".Emmet County, Michigan","34,110"
".Genesee County, Michigan","406,220"
".Gladwin County, Michigan","25,378"
".Gogebic County, Michigan","14,376"
".Grand Traverse County, Michigan","95,249"
".Gratiot County, Michigan","41,764"
".Hillsdale County, Michigan","45,751"
".Houghton County, Michigan","37,373"
".Huron County, Michigan","31,404"
".Ingham County, Michigan","285,230"
".Ionia County, Michigan","66,804"
".Iosco County, Michigan","25,230"
".Iron County, Michigan","11,618"
".Isabella County, Michigan","64,402"
".Jackson County, Michigan","160,357"
".Kalamazoo County, Michigan","261,685"
".Kalkaska County, Michigan","17,937"
".Kent County, Michigan","657,980"
".Keweenaw County, Michigan","2,046"
".Lake County, Michigan","12,101"
".Lapeer County, Michigan","88,622"
".Leelanau County, Michigan","22,298"
".Lenawee County, Michigan","99,413"
".Livingston County, Michigan","193,876"
".Luce County, Michigan","6,412"
".Mackinac County, Michigan","10,824"
".Macomb County, Michigan","881,233"
".Manistee County, Michigan","25,033"
".Marquette County, Michigan","66,546"
".Mason County, Michigan","29,055"
".Mecosta County, Michigan","40,344"
".Menominee County, Michigan","23,496"
".Midland County, Michigan","83,497"
".Missaukee County, Michigan","15,056"
".Monroe County, Michigan","154,810"
".Montcalm County, Michigan","66,625"
".Montmorency County, Michigan","9,156"
".Muskegon County, Michigan","174,737"
".Newaygo County, Michigan","49,965"
".Oakland County, Michigan","1,274,371"
".Oceana County, Michigan","26,659"
".Ogemaw County, Michigan","20,770"
".Ontonagon County, Michigan","5,812"
".Osceola County, Michigan","22,886"
".Oscoda County, Michigan","8,220"
".Otsego County, Michigan","25,089"
".Ottawa County, Michigan","296,195"
".Presque Isle County, Michigan","12,982"
".Roscommon County, Michigan","23,446"
".Saginaw County, Michigan","190,122"
".St. Clair County, Michigan","160,390"
".St. Joseph County, Michigan","60,940"
".Sanilac County, Michigan","40,614"
".Schoolcraft County, Michigan","8,050"
".Shiawassee County, Michigan","68,085"
".Tuscola County, Michigan","53,317"
".Van Buren County, Michigan","75,575"
".Washtenaw County, Michigan","372,258"
".Wayne County, Michigan","1,793,896"
".Wexford County, Michigan","33,667"
".Aitkin County, Minnesota","15,696"
".Anoka County, Minnesota","363,894"
".Becker County, Minnesota","35,182"
".Beltrami County, Minnesota","46,228"
".Benton County, Minnesota","41,377"
".Big Stone County, Minnesota","5,169"
".Blue Earth County, Minnesota","69,103"
".Brown County, Minnesota","25,915"
".Carlton County, Minnesota","36,190"
".Carver County, Minnesota","106,924"
".Cass County, Minnesota","30,084"
".Chippewa County, Minnesota","12,606"
".Chisago County, Minnesota","56,618"
".Clay County, Minnesota","65,329"
".Clearwater County, Minnesota","8,515"
".Cook County, Minnesota","5,602"
".Cottonwood County, Minnesota","11,516"
".Crow Wing County, Minnesota","66,123"
".Dakota County, Minnesota","439,880"
".Dodge County, Minnesota","20,864"
".Douglas County, Minnesota","38,998"
".Faribault County, Minnesota","13,917"
".Fillmore County, Minnesota","21,239"
".Freeborn County, Minnesota","30,885"
".Goodhue County, Minnesota","47,582"
".Grant County, Minnesota","6,070"
".Hennepin County, Minnesota","1,281,561"
".Houston County, Minnesota","18,817"
".Hubbard County, Minnesota","21,343"
".Isanti County, Minnesota","41,132"
".Itasca County, Minnesota","45,022"
".Jackson County, Minnesota","9,988"
".Kanabec County, Minnesota","16,032"
".Kandiyohi County, Minnesota","43,724"
".Kittson County, Minnesota","4,209"
".Koochiching County, Minnesota","12,065"
".Lac qui Parle County, Minnesota","6,719"
".Lake County, Minnesota","10,903"
".Lake of the Woods County, Minnesota","3,769"
".Le Sueur County, Minnesota","28,677"
".Lincoln County, Minnesota","5,655"
".Lyon County, Minnesota","25,521"
".McLeod County, Minnesota","36,764"
".Mahnomen County, Minnesota","5,419"
".Marshall County, Minnesota","9,048"
".Martin County, Minnesota","20,031"
".Meeker County, Minnesota","23,399"
".Mille Lacs County, Minnesota","26,462"
".Morrison County, Minnesota","34,013"
".Mower County, Minnesota","40,035"
".Murray County, Minnesota","8,168"
".Nicollet County, Minnesota","34,453"
".Nobles County, Minnesota","22,290"
".Norman County, Minnesota","6,442"
".Olmsted County, Minnesota","162,849"
".Otter Tail County, Minnesota","60,061"
".Pennington County, Minnesota","13,994"
".Pine County, Minnesota","28,881"
".Pipestone County, Minnesota","9,415"
".Polk County, Minnesota","31,188"
".Pope County, Minnesota","11,311"
".Ramsey County, Minnesota","552,345"
".Red Lake County, Minnesota","3,938"
".Redwood County, Minnesota","15,430"
".Renville County, Minnesota","14,716"
".Rice County, Minnesota","67,092"
".Rock County, Minnesota","9,703"
".Roseau County, Minnesota","15,336"
".St. Louis County, Minnesota","200,231"
".Scott County, Minnesota","150,919"
".Sherburne County, Minnesota","97,180"
".Sibley County, Minnesota","14,836"
".Stearns County, Minnesota","158,299"
".Steele County, Minnesota","37,402"
".Stevens County, Minnesota","9,672"
".Swift County, Minnesota","9,846"
".Todd County, Minnesota","25,262"
".Traverse County, Minnesota","3,363"
".Wabasha County, Minnesota","21,375"
".Wadena County, Minnesota","14,063"
".Waseca County, Minnesota","18,954"
".Washington County, Minnesota","267,557"
".Watonwan County, Minnesota","11,254"
".Wilkin County, Minnesota","6,508"
".Winona County, Minnesota","49,692"
".Wright County, Minnesota","141,335"
".Yellow Medicine County, Minnesota","9,518"
".Adams County, Mississippi","29,542"
".Alcorn County, Mississippi","34,743"
".Amite County, Mississippi","12,723"
".Attala County, Mississippi","17,882"
".Benton County, Mississippi","7,651"
".Bolivar County, Mississippi","30,986"
".Calhoun County, Mississippi","13,259"
".Carroll County, Mississippi","10,004"
".Chickasaw County, Mississippi","17,107"
".Choctaw County, Mississippi","8,245"
".Claiborne County, Mississippi","9,132"
".Clarke County, Mississippi","15,611"
".Clay County, Mississippi","18,632"
".Coahoma County, Mississippi","21,389"
".Copiah County, Mississippi","28,369"
".Covington County, Mississippi","18,339"
".DeSoto County, Mississippi","185,312"
".Forrest County, Mississippi","78,177"
".Franklin County, Mississippi","7,676"
".George County, Mississippi","24,349"
".Greene County, Mississippi","13,530"
".Grenada County, Mississippi","21,627"
".Hancock County, Mississippi","46,052"
".Harrison County, Mississippi","208,627"
".Hinds County, Mississippi","227,739"
".Holmes County, Mississippi","16,997"
".Humphreys County, Mississippi","7,789"
".Issaquena County, Mississippi","1,335"
".Itawamba County, Mississippi","23,861"
".Jackson County, Mississippi","143,246"
".Jasper County, Mississippi","16,368"
".Jefferson County, Mississippi","7,256"
".Jefferson Davis County, Mississippi","11,326"
".Jones County, Mississippi","67,251"
".Kemper County, Mississippi","8,987"
".Lafayette County, Mississippi","55,816"
".Lamar County, Mississippi","64,219"
".Lauderdale County, Mississippi","72,978"
".Lawrence County, Mississippi","12,015"
".Leake County, Mississippi","21,273"
".Lee County, Mississippi","83,346"
".Leflore County, Mississippi","28,493"
".Lincoln County, Mississippi","34,922"
".Lowndes County, Mississippi","58,884"
".Madison County, Mississippi","109,130"
".Marion County, Mississippi","24,439"
".Marshall County, Mississippi","33,753"
".Monroe County, Mississippi","34,172"
".Montgomery County, Mississippi","9,818"
".Neshoba County, Mississippi","29,097"
".Newton County, Mississippi","21,290"
".Noxubee County, Mississippi","10,276"
".Oktibbeha County, Mississippi","51,782"
".Panola County, Mississippi","33,203"
".Pearl River County, Mississippi","56,147"
".Perry County, Mississippi","11,512"
".Pike County, Mississippi","40,325"
".Pontotoc County, Mississippi","31,189"
".Prentiss County, Mississippi","25,007"
".Quitman County, Mississippi","6,171"
".Rankin County, Mississippi","157,031"
".Scott County, Mississippi","27,993"
".Sharkey County, Mississippi","3,803"
".Simpson County, Mississippi","25,944"
".Smith County, Mississippi","14,219"
".Stone County, Mississippi","18,331"
".Sunflower County, Mississippi","25,816"
".Tallahatchie County, Mississippi","12,711"
".Tate County, Mississippi","28,064"
".Tippah County, Mississippi","21,812"
".Tishomingo County, Mississippi","18,860"
".Tunica County, Mississippi","9,787"
".Union County, Mississippi","27,781"
".Walthall County, Mississippi","13,885"
".Warren County, Mississippi","44,719"
".Washington County, Mississippi","44,928"
".Wayne County, Mississippi","19,776"
".Webster County, Mississippi","9,924"
".Wilkinson County, Mississippi","8,585"
".Winston County, Mississippi","17,710"
".Yalobusha County, Mississippi","12,478"
".Yazoo County, Mississippi","26,745"
".Adair County, Missouri","25,316"
".Andrew County, Missouri","18,130"
".Atchison County, Missouri","5,302"
".Audrain County, Missouri","24,960"
".Barry County, Missouri","34,529"
".Barton County, Missouri","11,638"
".Bates County, Missouri","16,037"
".Benton County, Missouri","19,394"
".Bollinger County, Missouri","10,567"
".Boone County, Missouri","183,608"
".Buchanan County, Missouri","84,794"
".Butler County, Missouri","42,128"
".Caldwell County, Missouri","8,810"
".Callaway County, Missouri","44,290"
".Camden County, Missouri","42,745"
".Cape Girardeau County, Missouri","81,710"
".Carroll County, Missouri","8,493"
".Carter County, Missouri","5,203"
".Cass County, Missouri","107,820"
".Cedar County, Missouri","14,188"
".Chariton County, Missouri","7,414"
".Christian County, Missouri","88,846"
".Clark County, Missouri","6,635"
".Clay County, Missouri","253,327"
".Clinton County, Missouri","21,182"
".Cole County, Missouri","77,273"
".Cooper County, Missouri","17,103"
".Crawford County, Missouri","23,054"
".Dade County, Missouri","7,570"
".Dallas County, Missouri","17,069"
".Daviess County, Missouri","8,434"
".DeKalb County, Missouri","11,031"
".Dent County, Missouri","14,416"
".Douglas County, Missouri","11,569"
".Dunklin County, Missouri","28,283"
".Franklin County, Missouri","104,688"
".Gasconade County, Missouri","14,793"
".Gentry County, Missouri","6,166"
".Greene County, Missouri","298,909"
".Grundy County, Missouri","9,808"
".Harrison County, Missouri","8,157"
".Henry County, Missouri","21,951"
".Hickory County, Missouri","8,273"
".Holt County, Missouri","4,233"
".Howard County, Missouri","10,154"
".Howell County, Missouri","39,754"
".Iron County, Missouri","9,535"
".Jackson County, Missouri","717,214"
".Jasper County, Missouri","122,750"
".Jefferson County, Missouri","226,569"
".Johnson County, Missouri","54,012"
".Knox County, Missouri","3,742"
".Laclede County, Missouri","36,038"
".Lafayette County, Missouri","32,977"
".Lawrence County, Missouri","38,004"
".Lewis County, Missouri","10,036"
".Lincoln County, Missouri","59,577"
".Linn County, Missouri","11,873"
".Livingston County, Missouri","14,560"
".McDonald County, Missouri","23,298"
".Macon County, Missouri","15,210"
".Madison County, Missouri","12,625"
".Maries County, Missouri","8,427"
".Marion County, Missouri","28,533"
".Mercer County, Missouri","3,535"
".Miller County, Missouri","24,729"
".Mississippi County, Missouri","12,569"
".Moniteau County, Missouri","15,473"
".Monroe County, Missouri","8,668"
".Montgomery County, Missouri","11,316"
".Morgan County, Missouri","21,007"
".New Madrid County, Missouri","16,429"
".Newton County, Missouri","58,650"
".Nodaway County, Missouri","21,232"
".Oregon County, Missouri","8,638"
".Osage County, Missouri","13,270"
".Ozark County, Missouri","8,554"
".Pemiscot County, Missouri","15,663"
".Perry County, Missouri","18,954"
".Pettis County, Missouri","42,980"
".Phelps County, Missouri","44,638"
".Pike County, Missouri","17,587"
".Platte County, Missouri","106,725"
".Polk County, Missouri","31,522"
".Pulaski County, Missouri","53,959"
".Putnam County, Missouri","4,674"
".Ralls County, Missouri","10,351"
".Randolph County, Missouri","24,713"
".Ray County, Missouri","23,161"
".Reynolds County, Missouri","6,094"
".Ripley County, Missouri","10,676"
".St. Charles County, Missouri","405,265"
".St. Clair County, Missouri","9,282"
".Ste. Genevieve County, Missouri","18,479"
".St. Francois County, Missouri","66,919"
".St. Louis County, Missouri","1,004,501"
".Saline County, Missouri","23,334"
".Schuyler County, Missouri","4,033"
".Scotland County, Missouri","4,715"
".Scott County, Missouri","38,054"
".Shannon County, Missouri","7,033"
".Shelby County, Missouri","6,110"
".Stoddard County, Missouri","28,676"
".Stone County, Missouri","31,072"
".Sullivan County, Missouri","5,987"
".Taney County, Missouri","56,058"
".Texas County, Missouri","24,483"
".Vernon County, Missouri","19,712"
".Warren County, Missouri","35,535"
".Washington County, Missouri","23,517"
".Wayne County, Missouri","10,973"
".Webster County, Missouri","39,084"
".Worth County, Missouri","1,973"
".Wright County, Missouri","18,187"
