County,Population
".Scott County, Arkansas","9,834"
".Searcy County, Arkansas","7,832"
".Sebastian County, Arkansas","127,797"
".Sevier County, Arkansas","15,842"
".Sharp County, Arkansas","17,276"
".Stone County, Arkansas","12,352"
".Union County, Arkansas","39,057"
".Van Buren County, Arkansas","15,792"
".Washington County, Arkansas","245,862"
".White County, Arkansas","76,825"
".Woodruff County, Arkansas","6,268"
".Yell County, Arkansas","20,260"
".Alameda County, California","1,682,296"
".Alpine County, California","1,176"
".Amador County, California","40,497"
".Butte County, California","211,632"
".Calaveras County, California","45,284"
".Colusa County, California","21,837"
".Contra Costa County, California","1,165,983"
".Del Norte County, California","27,742"
".El Dorado County, California","191,185"
".Fresno County, California","1,008,649"
".Glenn County, California","28,919"
".Humboldt County, California","136,467"
".Imperial County, California","179,710"
".Inyo County, California","19,024"
".Kern County, California","909,233"
".Kings County, California","152,484"
".Lake County, California","68,164"
".Lassen County, California","32,733"
".Los Angeles County, California","10,017,401"
".Madera County, California","156,254"
".Marin County, California","262,325"
".Mariposa County, California","17,128"
".Mendocino County, California","91,587"
".Merced County, California","282,447"
".Modoc County, California","8,699"
".Mono County, California","13,196"
".Monterey County, California","441,012"
".Napa County, California","138,014"
".Nevada County, California","102,236"
".Orange County, California","3,187,256"
".Placer County, California","404,752"
".Plumas County, California","19,800"
".Riverside County, California","2,419,967"
".Sacramento County, California","1,585,030"
".San Benito County, California","64,209"
".San Bernardino County, California","2,181,664"
".San Diego County, California","3,298,647"
".San Francisco County, California","878,392"
".San Joaquin County, California","779,232"
".San Luis Obispo County, California","282,448"
".San Mateo County, California","764,659"
".Santa Barbara County, California","448,217"
".Santa Clara County, California","1,936,278"
".Santa Cruz County, California","272,140"
".Shasta County, California","182,452"
".Sierra County, California","3,235"
".Siskiyou County, California","44,079"
".Solano County, California","453,551"
".Sonoma County, California","488,862"
".Stanislaus County, California","553,285"
".Sutter County, California","99,635"
".Tehama County, California","65,905"
".Trinity County, California","16,116"
".Tulare County, California","473,121"
".Tuolumne County, California","55,623"
".Ventura County, California","844,363"
".Yolo County, California","217,867"
".Yuba County, California","81,575"
".Adams County, Colorado","519,575"
".Alamosa County, Colorado","16,377"
".Arapahoe County, Colorado","655,077"
".Archuleta County, Colorado","13,355"
".Baca County, Colorado","3,510"
".Bent County, Colorado","5,651"
".Boulder County, Colorado","330,770"
".Broomfield County, Colorado","74,106"
".Chaffee County, Colorado","19,476"
".Cheyenne County, Colorado","1,749"
".Clear Creek County, Colorado","9,360"
".Conejos County, Colorado","7,459"
".Costilla County, Colorado","3,496"
".Crowley County, Colorado","5,917"
".Custer County, Colorado","4,708"
".Delta County, Colorado","31,197"
".Denver County, Colorado","715,513"
".Dolores County, Colorado","2,325"
".Douglas County, Colorado","357,990"
".Eagle County, Colorado","55,722"
".Elbert County, Colorado","26,046"
".El Paso County, Colorado","731,781"
".Fremont County, Colorado","48,937"
".Garfield County, Colorado","61,689"
".Gilpin County, Colorado","5,802"
".Grand County, Colorado","15,714"
".Gunnison County, Colorado","16,919"
".Hinsdale County, Colorado",783
".Huerfano County, Colorado","6,812"
".Jackson County, Colorado","1,380"
".Jefferson County, Colorado","582,944"
".Kiowa County, Colorado","1,445"
".Kit Carson County, Colorado","7,081"
".Lake County, Colorado","7,436"
".La Plata County, Colorado","55,638"
".Larimer County, Colorado","359,065"
".Las Animas County, Colorado","14,563"
".Lincoln County, Colorado","5,673"
".Logan County, Colorado","21,529"
".Mesa County, Colorado","155,705"
".Mineral County, Colorado",865
".Moffat County, Colorado","13,293"
".Montezuma County, Colorado","25,848"
".Montrose County, Colorado","42,678"
".Morgan County, Colorado","29,112"
".Otero County, Colorado","18,686"
".Ouray County, Colorado","4,880"
".Park County, Colorado","17,393"
".Phillips County, Colorado","4,536"
".Pitkin County, Colorado","17,366"
".Prowers County, Colorado","12,003"
".Pueblo County, Colorado","168,162"
